adm_1_name,Year,Month,YearMonth,dengue_total_month
National,2005,1,2005-01-01,3133.207218297165
National,2005,2,2005-02-01,1832.8497100705674
National,2005,3,2005-03-01,1673.5128955637506
National,2005,4,2005-04-01,1557.7614877157491
National,2005,5,2005-05-01,2160.990661022387
National,2005,6,2005-06-01,3748.2854297528525
National,2005,7,2005-07-01,6548.945522108099
National,2005,8,2005-08-01,7315.08408423785
National,2005,9,2005-09-01,7817.983462161831
National,2005,10,2005-10-01,7764.692561943746
National,2005,11,2005-11-01,7341.163876746815
National,2005,12,2005-12-01,6085.523090379193
National,2006,1,2006-01-01,3768.426765256955
National,2006,2,2006-02-01,2204.437633038893
National,2006,3,2006-03-01,2012.7972228637232
National,2006,4,2006-04-01,1873.5786289248108
National,2006,5,2006-05-01,2599.1051593749776
National,2006,6,2006-06-01,4508.204581815066
National,2006,7,2006-07-01,7876.664347509868
National,2006,8,2006-08-01,8798.128158318505
National,2006,9,2006-09-01,9402.984251121
National,2006,10,2006-10-01,9338.88927088678
National,2006,11,2006-11-01,8829.495310656594
National,2006,12,2006-12-01,7319.288670232832
National,2007,1,2007-01-01,5740.345755347419
National,2007,2,2007-02-01,3357.962088160701
National,2007,3,2007-03-01,3066.0412724918674
National,2007,4,2007-04-01,2853.97323599702
National,2007,5,2007-05-01,3959.1487903845214
National,2007,6,2007-06-01,6867.229920466647
National,2007,7,2007-07-01,11998.316424875935
National,2007,8,2007-08-01,13401.95810470063
National,2007,9,2007-09-01,14323.319543093367
National,2007,10,2007-10-01,14225.685339048674
National,2007,11,2007-11-01,13449.738866009657
National,2007,12,2007-12-01,11149.28065942357
National,2008,1,2008-01-01,5303.632316812564
National,2008,2,2008-02-01,3102.4953911199773
National,2008,3,2008-03-01,2832.7832974731364
National,2008,4,2008-04-01,2636.84895141579
National,2008,5,2008-05-01,3657.945072767115
National,2008,6,2008-06-01,6344.785503423875
National,2008,7,2008-07-01,11085.50973241222
National,2008,8,2008-08-01,12382.36530377018
National,2008,9,2008-09-01,13233.631500683938
National,2008,10,2008-10-01,13143.425101650337
National,2008,11,2008-11-01,12426.511005196684
National,2008,12,2008-12-01,10301.066823274192
National,2009,1,2009-01-01,5794.06887665799
National,2009,2,2009-02-01,3389.388802213684
National,2009,3,2009-03-01,3094.7359390233837
National,2009,4,2009-04-01,2880.683186391865
National,2009,5,2009-05-01,3996.2019296582816
National,2009,6,2009-06-01,6931.499398614567
National,2009,7,2009-07-01,12110.607049219558
National,2009,8,2009-08-01,13527.38522211552
National,2009,9,2009-09-01,14457.369557879822
National,2009,10,2009-10-01,14358.821608494427
National,2009,11,2009-11-01,13575.613157122005
National,2009,12,2009-12-01,11253.625272608906
National,2010,1,2010-01-01,7084.138630053388
National,2010,2,2010-02-01,4144.048104564782
National,2010,3,2010-03-01,3783.7897481287036
National,2010,4,2010-04-01,3522.077399506979
National,2010,5,2010-05-01,4885.970302740876
National,2010,6,2010-06-01,8474.822046340641
National,2010,7,2010-07-01,14807.076176881512
National,2010,8,2010-08-01,16539.304978175613
National,2010,9,2010-09-01,17676.353587465266
National,2010,10,2010-10-01,17555.863591572037
National,2010,11,2010-11-01,16598.271032031746
National,2010,12,2010-12-01,13759.284402538466
National,2011,1,2011-01-01,2329.0
National,2011,2,2011-02-01,411.0
National,2011,3,2011-03-01,213.0
National,2011,4,2011-04-01,19.0
National,2011,5,2011-05-01,555.0
National,2011,6,2011-06-01,2730.0
National,2011,7,2011-07-01,6096.0
National,2011,8,2011-08-01,7115.0
National,2011,9,2011-09-01,6689.0
National,2011,10,2011-10-01,5810.0
National,2011,11,2011-11-01,5007.0
National,2011,12,2011-12-01,4024.0
National,2012,1,2012-01-01,1740.0
National,2012,2,2012-02-01,2596.0
National,2012,3,2012-03-01,2651.0
National,2012,4,2012-04-01,3204.0
National,2012,5,2012-05-01,5386.0
National,2012,6,2012-06-01,7955.0
National,2012,7,2012-07-01,9944.0
National,2012,8,2012-08-01,10994.0
National,2012,9,2012-09-01,9668.0
National,2012,10,2012-10-01,8508.0
National,2012,11,2012-11-01,11408.0
National,2012,12,2012-12-01,8784.0
National,2013,1,2013-01-01,5000.0
National,2013,2,2013-02-01,2541.0
National,2013,3,2013-03-01,2458.0
National,2013,4,2013-04-01,2320.0
National,2013,5,2013-05-01,3535.0
National,2013,6,2013-06-01,5662.0
National,2013,7,2013-07-01,8397.0
National,2013,8,2013-08-01,8701.0
National,2013,9,2013-09-01,7928.0
National,2013,10,2013-10-01,7486.0
National,2013,11,2013-11-01,7237.0
National,2013,12,2013-12-01,5055.0
National,2014,1,2014-01-01,2274.0
National,2014,2,2014-02-01,1081.0
National,2014,3,2014-03-01,897.0
National,2014,4,2014-04-01,1093.0
National,2014,5,2014-05-01,1288.0
National,2014,6,2014-06-01,1230.0
National,2014,7,2014-07-01,1804.0
National,2014,8,2014-08-01,2819.0
National,2014,9,2014-09-01,3140.0
National,2014,10,2014-10-01,4407.0
National,2014,11,2014-11-01,4855.0
National,2014,12,2014-12-01,4293.0
National,2015,1,2015-01-01,3725.0
National,2015,2,2015-02-01,1586.0
National,2015,3,2015-03-01,1907.0
National,2015,4,2015-04-01,1471.0
National,2015,5,2015-05-01,1855.0
National,2015,6,2015-06-01,2934.0
National,2015,7,2015-07-01,4580.0
National,2015,8,2015-08-01,8623.0
National,2015,9,2015-09-01,12856.0
National,2015,10,2015-10-01,18918.0
National,2015,11,2015-11-01,21196.0
National,2015,12,2015-12-01,17100.0
National,2016,1,2016-01-01,12649.0
National,2016,2,2016-02-01,5880.0
National,2016,3,2016-03-01,4155.0
National,2016,4,2016-04-01,4232.0
National,2016,5,2016-05-01,5868.0
National,2016,6,2016-06-01,5916.0
National,2016,7,2016-07-01,11880.0
National,2016,8,2016-08-01,11355.0
National,2016,9,2016-09-01,12996.0
National,2016,10,2016-10-01,15061.0
National,2016,11,2016-11-01,10702.0
National,2016,12,2016-12-01,8955.0
National,2017,1,2017-01-01,8371.0
National,2017,2,2017-02-01,5574.0
National,2017,3,2017-03-01,5022.0
National,2017,4,2017-04-01,5552.0
National,2017,5,2017-05-01,6009.0
National,2017,6,2017-06-01,11966.0
National,2017,7,2017-07-01,27874.0
National,2017,8,2017-08-01,29882.0
National,2017,9,2017-09-01,19608.0
National,2017,10,2017-10-01,15758.0
National,2017,11,2017-11-01,8883.0
National,2017,12,2017-12-01,7488.0
National,2018,1,2018-01-01,4414.0
National,2018,2,2018-02-01,2656.0
National,2018,3,2018-03-01,3007.0
National,2018,4,2018-04-01,3067.0
National,2018,5,2018-05-01,3578.0
National,2018,6,2018-06-01,5092.0
National,2018,7,2018-07-01,10166.0
National,2018,8,2018-08-01,10285.0
National,2018,9,2018-09-01,15964.0
National,2018,10,2018-10-01,17439.0
National,2018,11,2018-11-01,19962.0
National,2018,12,2018-12-01,24533.0
National,2019,1,2019-01-01,12119.0
National,2019,2,2019-02-01,8457.0
National,2019,3,2019-03-01,7796.0
National,2019,4,2019-04-01,5204.0
National,2019,5,2019-05-01,8219.0
National,2019,6,2019-06-01,19466.0
National,2019,7,2019-07-01,29246.0
National,2019,8,2019-08-01,33080.0
National,2019,9,2019-09-01,42451.0
National,2019,10,2019-10-01,37018.0
National,2019,11,2019-11-01,34042.0
National,2019,12,2019-12-01,21972.0
